,MentalHealth,DevType,YearlySalary
54093,None of the above,"Developer, front-end;Developer, full-stack",100000
54096,None of the above,"Developer, back-end;Cloud infrastructure engineer",82500
54098,None of the above,"Developer, desktop or enterprise applications;Other",381595
54103,None of the above,"Developer, full-stack;Developer, mobile;Project manager",58000
54109,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack",130000
54111,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end",115000
54115,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, game or graphics",160000
54118,"Or, in your own words:","Engineer, site reliability;Developer, back-end;System administrator",43000
54119,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack",90000
54122,None of the above,"Developer, full-stack;Developer, back-end",99100
54125,Anxiety,"Developer, full-stack",151840
54126,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Database administrator;DevOps specialist;System administrator",39000
54127,None of the above,"Developer, front-end;Developer, full-stack;Developer, QA or test;Developer, mobile;Project manager;Designer",150000
54129,Anxiety,"Developer, desktop or enterprise applications;Developer, embedded applications or devices;Designer",86000
54130,None of the above,"Developer, full-stack;Developer, back-end",225000
54131,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, back-end;Developer, embedded applications or devices",160000
54135,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end",19000
54136,None of the above,"Developer, full-stack;Developer, back-end",275000
54140,"I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, front-end;Developer, full-stack",147000
54151,Prefer not to say,"Engineer, site reliability;Developer, back-end;DevOps specialist;Cloud infrastructure engineer",190000
54153,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Engineer, site reliability;Developer, full-stack;Project manager;Security professional",95000
54155,None of the above,"Developer, full-stack",550000
54156,None of the above,"Developer, front-end",88000
54158,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;Database administrator;Cloud infrastructure engineer;Designer;System administrator",60000
54161,None of the above,"Developer, full-stack;Developer, back-end;Developer, QA or test;Database administrator;DevOps specialist;Cloud infrastructure engineer;Data or business analyst",178000
54163,None of the above,"Developer, front-end",105000
54165,None of the above,"Developer, back-end;Cloud infrastructure engineer",275000
54166,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications",45000
54167,Depression;Anxiety,"Senior Executive (C-Suite, VP, etc.)",140000
54170,None of the above,"Developer, full-stack;Developer, QA or test;Database administrator;DevOps specialist;Developer, embedded applications or devices",96000
54172,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Developer, mobile",205000
54178,None of the above,Educator;Academic researcher;Other,43927
54183,None of the above,"Developer, full-stack;Developer, desktop or enterprise applications;Developer, mobile",90000
54184,None of the above,"Developer, back-end",375000
54187,None of the above,"Developer, full-stack",205000
54188,"Depression;I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, full-stack",90000
54189,None of the above,"Developer, back-end;Data or business analyst",600000
54190,Depression;Anxiety,"Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;Database administrator;DevOps specialist;Developer, embedded applications or devices;Data or business analyst;Designer;System administrator",62000
54192,None of the above,Cloud infrastructure engineer;Security professional,243000
54194,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end",200000
54195,None of the above,"Developer, back-end;Database administrator",79200
54197,None of the above,"Developer, full-stack;Developer, desktop or enterprise applications;Engineering manager",83000
54199,None of the above,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Engineering manager;Developer, embedded applications or devices;System administrator;Security professional",42500
54201,"I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, full-stack;Other;Designer",43200
54204,"Depression;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, game or graphics;Designer;System administrator",59000
54210,None of the above,"Developer, full-stack;Educator;Engineering manager;Academic researcher",120000
54215,None of the above,"Developer, full-stack",83000
54218,Anxiety,"Developer, full-stack;Developer, desktop or enterprise applications;Developer, game or graphics",140000
54220,None of the above,"Developer, mobile",95000
54221,None of the above,"Developer, back-end",80000
54222,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end",80000
54227,None of the above,"Developer, desktop or enterprise applications;Developer, mobile",64000
54231,None of the above,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Database administrator",90000
54235,Depression;Anxiety,"Developer, back-end;Developer, mobile;Developer, embedded applications or devices;Cloud infrastructure engineer",200000
54238,None of the above,"Developer, back-end",260000
54241,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist;Cloud infrastructure engineer;Designer",55800
54243,None of the above,"Developer, full-stack",150000
54245,None of the above,"Developer, back-end",490000
54247,None of the above,"Developer, full-stack;Database administrator;Developer, embedded applications or devices;Security professional",155000
54249,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Other,28000
54251,None of the above,"Data scientist or machine learning specialist;Developer, full-stack;Academic researcher;Scientist",48000
54254,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, full-stack",150000
54255,None of the above,"Developer, front-end",70000
54260,None of the above,"Developer, back-end;Developer, QA or test",720000
54261,None of the above,"Developer, front-end;Developer, back-end;Developer, desktop or enterprise applications;Engineering manager;Developer, embedded applications or devices",170000
54263,Prefer not to say,"Developer, full-stack",160000
54270,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Database administrator;Developer, embedded applications or devices;System administrator",93000
54271,None of the above,"Engineer, data;Developer, back-end;Engineering manager;Designer",135000
54272,None of the above,"Engineer, data;Developer, back-end;Data or business analyst",120000
54277,None of the above,"Developer, back-end;Developer, embedded applications or devices",200000
54278,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, game or graphics",96500
54279,None of the above,"Developer, back-end",250000
54281,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Engineering manager;Developer, embedded applications or devices",42600
54282,Prefer not to say,"Developer, full-stack;Developer, desktop or enterprise applications;Developer, game or graphics",72500
54285,None of the above,"Developer, back-end",200000
54286,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;Database administrator;Developer, embedded applications or devices;Project manager;Designer;Product manager;System administrator",36000
54287,"I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end",90000
54294,Depression;Anxiety,"Developer, full-stack",28000
54295,None of the above,"Engineer, data",100000
54299,Anxiety,"Developer, front-end",165000
54300,Anxiety,"Developer, back-end",180000
54306,Prefer not to say,"Developer, back-end;Engineering manager",130000
54308,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, back-end;Developer, desktop or enterprise applications",200000
